time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,8000020.000000,0.000000,0.000000,0.000000,7058.677685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,8000016.849759,7058.676758,-0.000000,-6.238100,7058.674945,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000012,-0.000000
2,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,8000007.461421,14117.348009,-0.000000,-12.476195,7058.666724,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000000,-0.000000
3,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999991.834991,21176.008269,-0.000000,-18.714281,7058.653020,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000013,-0.000000
4,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999969.970483,28234.652057,-0.000000,-24.952352,7058.633835,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000026,-0.000000
5,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999941.867913,35293.273891,-0.000000,-31.190404,7058.609167,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000041,-0.000000
6,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999907.527303,42351.868290,-0.000000,-37.428432,7058.579018,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000054,-0.000000
7,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999866.948679,49410.429770,-0.000000,-43.666430,7058.543386,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000068,-0.000000
8,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999820.132073,56468.952851,-0.000000,-49.904395,7058.502273,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000081,-0.000000
9,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999767.077522,63527.432051,-0.000000,-56.142322,7058.455678,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000094,-0.000000
10,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999707.785066,70585.861887,-0.000000,-62.380204,7058.403602,-0.000000,0.000000,0.000000,0.000000,-0.009999,0.000108,-0.000000
11,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999642.254751,77644.236878,-0.000000,-68.618038,7058.346043,-0.000000,0.000000,0.000000,0.000000,-0.009999,0.000121,-0.000000
12,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999570.486629,84702.551543,-0.000000,-74.855819,7058.283003,-0.000000,0.000000,0.000000,0.000000,-0.009999,0.000134,-0.000000
13,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999492.480754,91760.800400,-0.000000,-81.093542,7058.214482,-0.000000,0.000000,0.000000,0.000000,-0.009999,0.000148,-0.000000
14,7999389.214843,98819.097953,0.000000,-87.191636,7058.148360,0.000000,7999408.237188,98818.977967,-0.000000,-87.331202,7058.140479,-0.000000,0.000000,0.000000,0.000000,-0.009999,0.000161,-0.000000
15,7999298.878251,105877.206547,0.000000,-93.419259,7058.068708,0.000000,7999317.755996,105877.078763,-0.000000,-93.568794,7058.060995,-0.000000,0.000000,0.000000,0.000000,-0.009998,0.000175,-0.000000
16,7999202.314073,112935.232713,0.000000,-99.646810,7057.983561,0.000000,7999221.037248,112935.097307,-0.000000,-99.806314,7057.976029,-0.000000,0.000000,0.000000,0.000000,-0.009998,0.000188,-0.000000
17,7999099.522383,119993.170958,0.000000,-105.874283,7057.892919,0.000000,7999118.081019,119993.028117,-0.000000,-106.043756,7057.885582,-0.000000,0.000000,0.000000,0.000000,-0.009998,0.000200,-0.000000
18,7998990.503261,127051.015786,0.000000,-112.101673,7057.796782,0.000000,7999008.887389,127050.865712,-0.000000,-112.281116,7057.789654,-0.000000,0.000000,0.000000,0.000000,-0.009998,0.000214,-0.000000
19,7998875.256792,134108.761702,0.000000,-118.328976,7057.695151,0.000000,7998893.456444,134108.604611,-0.000000,-118.518388,7057.688245,-0.000000,0.000000,0.000000,0.000000,-0.009997,0.000227,-0.000000
