time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,7999800.000000,0.000000,0.000000,0.000000,7058.774744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999796.854824,7058.774008,0.000000,-6.228070,7058.772381,0.000000,0.000000,0.000000,0.000000,0.000372,0.000357,0.000000
2,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999787.481581,14117.542878,0.000000,-12.456135,7058.764521,0.000000,0.000000,0.000000,0.000000,0.000372,0.000356,0.000000
3,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999771.880276,21176.301112,0.000000,-18.684192,7058.751165,0.000000,0.000000,0.000000,0.000000,0.000372,0.000356,0.000000
4,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999750.050922,28235.043215,0.000000,-24.912234,7058.732313,0.000000,0.000000,0.000000,0.000000,0.000372,0.000355,0.000000
5,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999721.993535,35293.763690,0.000000,-31.140256,7058.707965,0.000000,0.000000,0.000000,0.000000,0.000371,0.000355,0.000000
6,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999687.708137,42352.457041,0.000000,-37.368255,7058.678120,0.000000,0.000000,0.000000,0.000000,0.000371,0.000354,0.000000
7,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999647.194754,49411.117771,0.000000,-43.596226,7058.642779,0.000000,0.000000,0.000000,0.000000,0.000371,0.000354,0.000000
8,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999600.453417,56469.740385,0.000000,-49.824162,7058.601941,0.000000,0.000000,0.000000,0.000000,0.000370,0.000353,0.000000
9,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999547.484163,63528.319386,0.000000,-56.052060,7058.555608,0.000000,0.000000,0.000000,0.000000,0.000370,0.000352,0.000000
10,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999488.287032,70586.849278,0.000000,-62.279915,7058.503778,0.000000,0.000000,0.000000,0.000000,0.000370,0.000352,0.000000
11,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999422.862070,77645.324564,0.000000,-68.507722,7058.446452,0.000000,0.000000,0.000000,0.000000,0.000370,0.000351,0.000000
12,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999351.209328,84703.739750,0.000000,-74.735476,7058.383630,0.000000,0.000000,0.000000,0.000000,0.000369,0.000351,0.000000
13,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999273.328861,91762.089337,0.000000,-80.963172,7058.315313,0.000000,0.000000,0.000000,0.000000,0.000369,0.000350,0.000000
