time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,10000000.000000,0.000000,0.000000,0.000000,6313.481146,0.000000,10000000.000000,200.000000,0.000000,0.000000,6313.481146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.000000,0.200000,0.000000,0.000000
1,9999997.987068,6313.480727,0.000000,-3.986004,6313.479900,0.000000,9999997.990246,6513.480812,0.000000,-3.979738,6313.480067,0.000000,0.000000,0.000000,0.000000,0.006177,0.000239,-0.000000,0.200000,200.000000,0.000000,0.200000,0.000000,0.000000
2,9999991.988132,12626.958937,0.000000,-7.972007,6313.476138,0.000000,9999992.000673,12826.959268,0.000000,-7.959636,6313.476459,0.000000,0.000000,0.000000,0.000000,0.006031,0.000228,-0.000000,0.400000,200.000000,0.000000,0.200000,0.000000,0.000000
3,9999982.003195,18940.432113,0.000000,-11.958006,6313.469859,0.000000,9999982.031122,19140.432838,0.000000,-11.939691,6313.470322,0.000000,0.000000,0.000000,0.000000,0.005872,0.000217,-0.000000,0.600000,200.000000,0.000000,0.200000,0.000000,0.000000
4,9999968.032261,25253.897741,0.000000,-15.944001,6313.461064,0.000000,9999968.081437,25453.898996,0.000000,-15.919901,6313.461658,0.000000,0.000000,0.000000,0.000000,0.005714,0.000206,-0.000000,0.800000,200.000000,0.000000,0.200000,0.000000,0.000000
5,9999950.075336,31567.353302,0.000000,-19.929989,6313.449752,0.000000,9999950.151468,31767.355213,0.000000,-19.900259,6313.450467,0.000000,0.000000,0.000000,0.000000,0.005544,0.000195,-0.000000,1.000000,200.000000,0.000000,0.200000,0.000000,0.000000
6,9999928.132426,37880.796280,0.000000,-23.915970,6313.435923,0.000000,9999928.241065,38080.798963,0.000000,-23.880764,6313.436750,0.000000,0.000000,0.000000,0.000000,0.005391,0.000186,-0.000000,1.200000,200.000000,0.000000,0.200000,0.000000,0.000000
7,9999902.203540,44194.224159,0.000000,-27.901941,6313.419578,0.000000,9999902.350085,44394.227720,0.000000,-27.861412,6313.420507,0.000000,0.000000,0.000000,0.000000,0.005240,0.000177,-0.000000,1.400000,200.000000,0.000000,0.200000,0.000000,0.000000
8,9999872.288688,50507.634422,0.000000,-31.887901,6313.400717,0.000000,9999872.478388,50707.638960,0.000000,-31.842198,6313.401739,0.000000,0.000000,0.000000,0.000000,0.005091,0.000169,-0.000000,1.600000,200.000000,0.000000,0.200000,0.000000,0.000000
9,9999838.387883,56821.024553,0.000000,-35.873848,6313.379339,0.000000,9999838.625836,57021.030156,0.000000,-35.823119,6313.380447,0.000000,0.000000,0.000000,0.000000,0.004944,0.000162,-0.000000,1.800000,200.000000,0.000000,0.200000,0.000000,0.000000
