time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,20001000.000000,0.000000,0.000000,0.000000,4464.193728,0.000000,20001000.000000,200.000000,0.000000,0.000000,4464.193728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.000000,0.200000,0.000000,0.000000
1,20000999.496817,4464.193691,0.000000,-0.996401,4464.193618,0.000000,20000999.499995,4664.193686,0.000000,-0.990128,4464.193608,0.000000,0.000000,0.000000,0.000000,0.006206,0.000001,0.000000,0.200000,200.000000,0.000000,0.200000,0.000000,0.000000
2,20000997.997233,8928.387159,0.000000,-1.992803,4464.193285,0.000000,20000998.009801,9128.387141,0.000000,-1.980378,4464.193268,0.000000,0.000000,0.000000,0.000000,0.006096,0.000003,0.000000,0.400000,200.000000,0.000000,0.200000,0.000000,0.000000
3,20000995.501248,13392.580182,0.000000,-2.989204,4464.192730,0.000000,20000995.529295,13592.580144,0.000000,-2.970750,4464.192707,0.000000,0.000000,0.000000,0.000000,0.005976,0.000004,0.000000,0.600000,200.000000,0.000000,0.200000,0.000000,0.000000
4,20000992.008861,17856.772539,0.000000,-3.985605,4464.191953,0.000000,20000992.058356,18056.772474,0.000000,-3.961242,4464.191924,0.000000,0.000000,0.000000,0.000000,0.005855,0.000006,0.000000,0.800000,200.000000,0.000000,0.200000,0.000000,0.000000
5,20000987.520073,22320.964005,0.000000,-4.982006,4464.190953,0.000000,20000987.596866,22520.963910,0.000000,-4.951853,4464.190921,0.000000,0.000000,0.000000,0.000000,0.005724,0.000007,0.000000,1.000000,200.000000,0.000000,0.200000,0.000000,0.000000
6,20000982.034884,26785.154360,0.000000,-5.978407,4464.189731,0.000000,20000982.144704,26985.154231,0.000000,-5.942582,4464.189697,0.000000,0.000000,0.000000,0.000000,0.005606,0.000009,0.000000,1.200000,200.000000,0.000000,0.200000,0.000000,0.000000
7,20000975.553295,31249.343381,0.000000,-6.974807,4464.188287,0.000000,20000975.701754,31449.343216,0.000000,-6.933430,4464.188252,0.000000,0.000000,0.000000,0.000000,0.005489,0.000010,0.000000,1.400000,200.000000,0.000000,0.200000,0.000000,0.000000
8,20000968.075306,35713.530844,0.000000,-7.971207,4464.186620,0.000000,20000968.267897,35913.530645,0.000000,-7.924393,4464.186586,0.000000,0.000000,0.000000,0.000000,0.005372,0.000012,0.000000,1.600000,200.000000,0.000000,0.200000,0.000000,0.000000
9,20000959.600916,40177.716529,0.000000,-8.967607,4464.184731,0.000000,20000959.843018,40377.716296,0.000000,-8.915473,4464.184699,0.000000,0.000000,0.000000,0.000000,0.005257,0.000013,0.000000,1.800000,200.000000,0.000000,0.200000,0.000000,0.000000
10,20000950.130127,44641.900211,0.000000,-9.964006,4464.182619,0.000000,20000950.427002,44841.899949,0.000000,-9.906666,4464.182591,0.000000,0.000000,0.000000,0.000000,0.005142,0.000015,0.000000,2.000000,200.000000,0.000000,0.200000,0.000000,0.000000
11,20000939.662940,49106.081670,0.000000,-10.960405,4464.180285,0.000000,20000940.019735,49306.081382,0.000000,-10.897974,4464.180262,0.000000,0.000000,0.000000,0.000000,0.005029,0.000016,0.000000,2.200000,200.000000,0.000000,0.200000,0.000000,0.000000
12,20000928.199353,53570.260683,0.000000,-11.956803,4464.177729,0.000000,20000928.621103,53770.260375,0.000000,-11.889393,4464.177712,0.000000,0.000000,0.000000,0.000000,0.004917,0.000017,0.000000,2.400000,200.000000,0.000000,0.200000,0.000000,0.000000
13,20000915.739369,58034.437027,0.000000,-12.953201,4464.174950,0.000000,20000916.230996,58234.436707,0.000000,-12.880924,4464.174942,0.000000,0.000000,0.000000,0.000000,0.004806,0.000019,0.000000,2.600000,200.000000,0.000000,0.200000,0.000000,0.000000
14,20000902.282988,62498.610480,0.000000,-13.949598,4464.171949,0.000000,20000902.849303,62698.610156,0.000000,-13.872565,4464.171950,0.000000,0.000000,0.000000,0.000000,0.004695,0.000020,0.000000,2.800000,200.000000,0.000000,0.200000,0.000000,0.000000
15,20000887.830210,66962.780819,0.000000,-14.945994,4464.168725,0.000000,20000888.475913,67162.780502,0.000000,-14.864315,4464.168738,0.000000,0.000000,0.000000,0.000000,0.004586,0.000022,0.000000,3.000000,200.000000,0.000000,0.200000,0.000000,0.000000
