time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,42164000.000000,0.000000,0.000000,0.000000,3074.666284,0.000000,42164000.000000,200.000000,0.000000,0.000000,3074.666284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.000000,0.200000,0.000000,0.000000
1,42163999.886774,3074.666281,0.000000,-0.224210,3074.666276,0.000000,42163999.891824,3274.666281,0.000000,-0.214210,3074.666275,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.200000,200.000000,0.000000,0.200000,0.000000,0.000000
2,42163999.549339,6149.332546,0.000000,-0.448419,3074.666252,0.000000,42163999.569439,6349.332545,0.000000,-0.428419,3074.666250,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.400000,200.000000,0.000000,0.200000,0.000000,0.000000
3,42163998.987694,9223.998779,0.000000,-0.672629,3074.666211,0.000000,42163999.032844,9423.998775,0.000000,-0.642629,3074.666209,0.000000,0.000000,0.000000,0.000000,0.010000,0.000001,0.000000,0.600000,200.000000,0.000000,0.200000,0.000000,0.000000
4,42163998.201839,12298.664962,0.000000,-0.896838,3074.666154,0.000000,42163998.282039,12498.664956,0.000000,-0.856838,3074.666152,0.000000,0.000000,0.000000,0.000000,0.010000,0.000001,0.000000,0.800000,200.000000,0.000000,0.200000,0.000000,0.000000
5,42163997.191775,15373.331080,0.000000,-1.121048,3074.666080,0.000000,42163997.317025,15573.331072,0.000000,-1.071048,3074.666079,0.000000,0.000000,0.000000,0.000000,0.010000,0.000002,0.000000,1.000000,200.000000,0.000000,0.200000,0.000000,0.000000
6,42163995.957501,18447.997116,0.000000,-1.345257,3074.665990,0.000000,42163996.137801,18647.997107,0.000000,-1.285257,3074.665990,0.000000,0.000000,0.000000,0.000000,0.010000,0.000003,0.000000,1.200000,200.000000,0.000000,0.200000,0.000000,0.000000
7,42163994.499018,21522.663054,0.000000,-1.569467,3074.665884,0.000000,42163994.744368,21722.663046,0.000000,-1.499467,3074.665886,0.000000,0.000000,0.000000,0.000000,0.010000,0.000003,0.000000,1.400000,200.000000,0.000000,0.200000,0.000000,0.000000
8,42163992.816325,24597.328878,0.000000,-1.793677,3074.665762,0.000000,42163993.136725,24797.328872,0.000000,-1.713677,3074.665766,0.000000,0.000000,0.000000,0.000000,0.010000,0.000004,0.000000,1.600000,200.000000,0.000000,0.200000,0.000000,0.000000
9,42163990.909423,27671.994571,0.000000,-2.017886,3074.665623,0.000000,42163991.314873,27871.994571,0.000000,-1.927886,3074.665631,0.000000,0.000000,0.000000,0.000000,0.010000,0.000006,0.000000,1.800000,200.000000,0.000000,0.200000,0.000000,0.000000
