time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,42164000.000000,0.000000,0.000000,0.000000,3074.666284,0.000000,42164000.000000,200.000000,0.000000,0.000000,3074.666284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.000000,0.200000,0.000000,0.000000
1,42163999.886774,3074.666281,0.000000,-0.224210,3074.666276,0.000000,42163999.889954,3274.666295,0.000000,-0.217930,3074.666303,0.000000,0.000000,0.000000,0.000000,0.006220,0.000027,-0.000000,0.200000,200.000000,0.000000,0.200000,0.000000,0.000000
2,42163999.549339,6149.332546,0.000000,-0.448419,3074.666252,0.000000,42163999.561924,6349.332601,0.000000,-0.435968,3074.666304,0.000000,0.000000,0.000000,0.000000,0.006124,0.000026,0.000000,0.400000,200.000000,0.000000,0.200000,0.000000,0.000000
3,42163998.987694,9223.998779,0.000000,-0.672629,3074.666211,0.000000,42163999.015802,9423.998898,0.000000,-0.654112,3074.666288,0.000000,0.000000,0.000000,0.000000,0.006017,0.000024,0.000000,0.600000,200.000000,0.000000,0.200000,0.000000,0.000000
4,42163998.201839,12298.664962,0.000000,-0.896838,3074.666154,0.000000,42163998.251481,12498.665170,0.000000,-0.872364,3074.666253,0.000000,0.000000,0.000000,0.000000,0.005910,0.000023,-0.000000,0.800000,200.000000,0.000000,0.200000,0.000000,0.000000
5,42163997.191775,15373.331080,0.000000,-1.121048,3074.666080,0.000000,42163997.268856,15573.331397,0.000000,-1.090722,3074.666200,-0.000000,0.000000,0.000000,0.000000,0.005793,0.000021,-0.000000,1.000000,200.000000,0.000000,0.200000,0.000000,0.000000
6,42163995.957501,18447.997116,0.000000,-1.345257,3074.665990,0.000000,42163996.067819,18647.997564,0.000000,-1.309185,3074.666130,-0.000000,0.000000,0.000000,0.000000,0.005688,0.000020,0.000000,1.200000,200.000000,0.000000,0.200000,0.000000,0.000000
7,42163994.499018,21522.663054,0.000000,-1.569467,3074.665884,0.000000,42163994.648264,21722.663650,0.000000,-1.527755,3074.666042,-0.000000,0.000000,0.000000,0.000000,0.005582,0.000019,0.000000,1.400000,200.000000,0.000000,0.200000,0.000000,0.000000
8,42163992.816325,24597.328878,0.000000,-1.793677,3074.665762,0.000000,42163993.010088,24797.329640,-0.000000,-1.746429,3074.665936,-0.000000,0.000000,0.000000,0.000000,0.005478,0.000017,0.000000,1.600000,200.000000,0.000000,0.200000,0.000000,0.000000
9,42163990.909423,27671.994571,0.000000,-2.017886,3074.665623,0.000000,42163991.153184,27871.995516,-0.000000,-1.965208,3074.665813,-0.000000,0.000000,0.000000,0.000000,0.005374,0.000016,0.000000,1.800000,200.000000,0.000000,0.200000,0.000000,0.000000
