time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,8000000.000000,200.000000,0.000000,0.000000,7058.686508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000
2,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999996.854768,7258.685514,0.000029,-6.228210,7058.683633,0.000089,0.000000,0.000000,0.000000,-0.017321,0.000015,0.019584,0.000000,200.000000,0.400000,0.000000,0.000000,0.000000
4,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999987.481243,14317.365377,0.000343,-12.456584,7058.675262,0.000565,0.000000,0.000000,0.000000,-0.032247,0.000053,0.055647,0.000000,200.000000,0.800000,0.000000,0.000000,0.000000
6,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999971.879266,21376.034095,0.001323,-18.685110,7058.661396,0.001412,0.000000,0.000000,0.000000,-0.049657,0.000128,0.093476,0.000000,200.000000,1.200000,0.000000,0.000000,0.000000
8,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999950.048691,28434.686172,0.003330,-24.913775,7058.642036,0.002612,0.000000,0.000000,0.000000,-0.064707,0.000221,0.127880,0.000000,200.000000,1.600000,0.000000,0.000000,0.000000
10,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999921.989385,35493.316114,0.006708,-31.142569,7058.617182,0.004149,0.000000,0.000000,0.000000,-0.079037,0.000335,0.160641,0.000000,200.000000,2.000000,0.000000,0.000000,0.000000
12,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999887.701227,42551.918428,0.011785,-37.371477,7058.586833,0.006006,0.000000,0.000000,0.000000,-0.092662,0.000468,0.191801,0.000000,200.000000,2.400000,0.000000,0.000000,0.000000
14,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999847.184106,49610.487619,0.018875,-43.600490,7058.550991,0.008168,0.000000,0.000000,0.000000,-0.105601,0.000618,0.221398,0.000000,200.000000,2.800000,0.000000,0.000000,0.000000
16,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999800.437926,56669.018194,0.028274,-49.829594,7058.509656,0.010619,0.000000,0.000000,0.000000,-0.117870,0.000782,0.249472,0.000000,200.000000,3.200000,0.000000,0.000000,0.000000
18,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999747.462599,63727.504658,0.040263,-56.058780,7058.462826,0.013343,0.000000,0.000000,0.000000,-0.128356,0.000940,0.275427,0.000000,200.000000,3.600000,0.000000,0.000000,0.000000
20,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999688.258051,70785.941519,0.055109,-62.288034,7058.410504,0.016327,0.000000,0.000000,0.000000,-0.139402,0.001127,0.300715,0.000000,200.000000,4.000000,0.000000,0.000000,0.000000
22,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999622.824219,77844.323284,0.073064,-68.517347,7058.352688,0.019557,0.000000,0.000000,0.000000,-0.149829,0.001322,0.324593,0.000000,200.000000,4.400000,0.000000,0.000000,0.000000
24,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999551.161048,84902.644459,0.094367,-74.746707,7058.289379,0.023017,0.000000,0.000000,0.000000,-0.159654,0.001526,0.347099,0.000000,200.000000,4.800000,0.000000,0.000000,0.000000
26,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999473.268499,91960.899551,0.119240,-80.976103,7058.220578,0.026695,0.000000,0.000000,0.000000,-0.168893,0.001735,0.368272,0.000000,200.000000,5.200000,0.000000,0.000000,0.000000
28,7999389.214843,98819.097953,0.000000,-87.191636,7058.148360,0.000000,7999389.146539,99019.083067,0.147896,-87.205526,7058.146283,0.030578,0.000000,0.000000,0.000000,-0.177563,0.001949,0.388148,0.000000,200.000000,5.600000,0.000000,0.000000,0.000000
30,7999298.878251,105877.206547,0.000000,-93.419259,7058.068708,0.000000,7999298.795147,106077.189516,0.180532,-93.434964,7058.066496,0.034652,0.000000,0.000000,0.000000,-0.185681,0.002167,0.406766,0.000000,200.000000,6.000000,0.000000,0.000000,0.000000
32,7999202.314073,112935.232713,0.000000,-99.646810,7057.983561,0.000000,7999202.214315,113135.213403,0.217335,-99.664407,7057.981216,0.038906,0.000000,0.000000,0.000000,-0.193263,0.002387,0.424161,0.000000,200.000000,6.400000,0.000000,0.000000,0.000000
34,7999099.522383,119993.170958,0.000000,-105.874283,7057.892919,0.000000,7999099.404041,120193.149237,0.258476,-105.893845,7057.890444,0.043327,0.000000,0.000000,0.000000,-0.200324,0.002607,0.440372,0.000000,200.000000,6.800000,0.000000,0.000000,0.000000
36,7998990.503261,127051.015786,0.000000,-112.101673,7057.796782,0.000000,7998990.364335,127250.991525,0.304119,-112.123268,7057.794179,0.047904,0.000000,0.000000,0.000000,-0.206881,0.002827,0.455432,0.000000,200.000000,7.200000,0.000000,0.000000,0.000000
38,7998875.256792,134108.761702,0.000000,-118.328976,7057.695151,0.000000,7998875.095218,134308.734774,0.354412,-118.352667,7057.692422,0.052625,0.000000,0.000000,0.000000,-0.212950,0.003047,0.469379,0.000000,200.000000,7.600000,0.000000,0.000000,0.000000
40,7998753.783066,141166.403213,0.000000,-124.556188,7057.588026,0.000000,7998753.596719,141366.373492,0.409494,-124.582031,7057.585172,0.057480,0.000000,0.000000,0.000000,-0.218545,0.003264,0.482248,0.000000,200.000000,8.000000,0.000000,0.000000,0.000000
42,7998626.082177,148223.934823,0.000000,-130.783302,7057.475405,0.000000,7998625.868878,148423.902187,0.469494,-130.811351,7057.472430,0.062457,0.000000,0.000000,0.000000,-0.223683,0.003478,0.494072,0.000000,200.000000,8.400000,0.000000,0.000000,0.000000
44,7998492.154225,155281.351039,0.000000,-137.010315,7057.357291,0.000000,7998491.911742,155481.315367,0.534530,-137.040618,7057.354196,0.067548,0.000000,0.000000,0.000000,-0.228378,0.003688,0.504886,0.000000,200.000000,8.800000,0.000000,0.000000,0.000000
46,7998351.999313,162338.646365,0.000000,-143.237221,7057.233682,0.000000,7998351.725369,162538.607539,0.604708,-143.269823,7057.230470,0.072740,0.000000,0.000000,0.000000,-0.232645,0.003894,0.514724,0.000000,200.000000,9.200000,0.000000,0.000000,0.000000
48,7998205.617552,169395.815308,0.000000,-149.464015,7057.104579,0.000000,7998205.309827,169595.773211,0.680128,-149.498957,7057.101252,0.078027,0.000000,0.000000,0.000000,-0.236499,0.004095,0.523619,0.000000,200.000000,9.600000,0.000000,0.000000,0.000000
50,7998053.009054,176452.852373,0.000000,-155.690694,7056.969982,0.000000,7998052.665192,176652.806892,0.760876,-155.728010,7056.966541,0.083396,0.000000,0.000000,0.000000,-0.239953,0.004290,0.531603,0.000000,200.000000,10.000000,0.000000,0.000000,0.000000
52,7997894.173939,183509.752067,0.000000,-161.917251,7056.829891,0.000000,7997893.791548,183709.703088,0.847033,-161.956974,7056.826339,0.088841,0.000000,0.000000,0.000000,-0.243023,0.004478,0.538709,0.000000,200.000000,10.400000,0.000000,0.000000,0.000000
54,7997729.112329,190566.508896,0.000000,-168.143682,7056.684306,0.000000,7997728.688988,190766.456308,0.938668,-168.185840,7056.680644,0.094352,0.000000,0.000000,0.000000,-0.245721,0.004660,0.544967,0.000000,200.000000,10.800000,0.000000,0.000000,0.000000
56,7997557.824354,197623.117365,0.000000,-174.369983,7056.533228,0.000000,7997557.357615,197823.061061,1.035845,-174.414600,7056.529458,0.099921,0.000000,0.000000,0.000000,-0.248063,0.004835,0.550410,0.000000,200.000000,11.200000,0.000000,0.000000,0.000000
