time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,8000000.000000,200.000000,0.000000,0.000000,7058.686508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.000000,0.000000,0.000000,0.200000
2,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999996.854768,7258.685514,0.001420,-6.228209,7058.683634,0.002809,0.000000,0.000000,0.000000,-0.017307,0.000234,0.279765,0.000000,200.000000,0.400000,0.000000,0.000000,0.200000
4,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999987.481243,14317.365380,0.005648,-12.456583,7058.675266,0.005617,0.000000,0.000000,0.000000,-0.032219,0.000468,0.279937,0.000000,200.000000,0.800000,0.000000,0.000000,0.200000
6,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999971.879266,21376.034104,0.012685,-18.685109,7058.661406,0.008425,0.000000,0.000000,0.000000,-0.049612,0.000785,0.279679,0.000000,200.000000,1.200000,0.000000,0.000000,0.200000
8,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999950.048693,28434.686195,0.022530,-24.913774,7058.642053,0.011232,0.000000,0.000000,0.000000,-0.064647,0.001098,0.279595,0.000000,200.000000,1.600000,0.000000,0.000000,0.200000
10,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999921.989388,35493.316159,0.035181,-31.142567,7058.617209,0.014039,0.000000,0.000000,0.000000,-0.078960,0.001433,0.279485,0.000000,200.000000,2.000000,0.000000,0.000000,0.200000
12,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999887.701232,42551.918505,0.050638,-37.371475,7058.586872,0.016844,0.000000,0.000000,0.000000,-0.092570,0.001788,0.279349,0.000000,200.000000,2.400000,0.000000,0.000000,0.200000
14,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999847.184115,49610.487742,0.068899,-43.600486,7058.551044,0.019647,0.000000,0.000000,0.000000,-0.105493,0.002161,0.279187,0.000000,200.000000,2.800000,0.000000,0.000000,0.200000
16,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999800.437938,56669.018378,0.089963,-49.829590,7058.509725,0.022449,0.000000,0.000000,0.000000,-0.117748,0.002549,0.279000,0.000000,200.000000,3.200000,0.000000,0.000000,0.200000
18,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999747.462617,63727.504921,0.113828,-56.058773,7058.462914,0.025249,0.000000,0.000000,0.000000,-0.128219,0.002911,0.279007,0.000000,200.000000,3.600000,0.000000,0.000000,0.200000
20,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999688.258076,70785.941880,0.140492,-62.288027,7058.410613,0.028047,0.000000,0.000000,0.000000,-0.139252,0.003325,0.278773,0.000000,200.000000,4.000000,0.000000,0.000000,0.200000
22,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999622.824252,77844.323766,0.169952,-68.517338,7058.352820,0.030842,0.000000,0.000000,0.000000,-0.149665,0.003749,0.278515,0.000000,200.000000,4.400000,0.000000,0.000000,0.200000
24,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999551.161091,84902.645086,0.202206,-74.746696,7058.289537,0.033634,0.000000,0.000000,0.000000,-0.159478,0.004183,0.278232,0.000000,200.000000,4.800000,0.000000,0.000000,0.200000
26,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999473.268554,91960.900349,0.237251,-80.976091,7058.220763,0.036424,0.000000,0.000000,0.000000,-0.168705,0.004624,0.277926,0.000000,200.000000,5.200000,0.000000,0.000000,0.200000
28,7999389.214843,98819.097953,0.000000,-87.191636,7058.148360,0.000000,7999389.146607,99019.084067,0.275084,-87.205511,7058.146499,0.039210,0.000000,0.000000,0.000000,-0.177365,0.005071,0.277597,0.000000,200.000000,5.600000,0.000000,0.000000,0.200000
30,7999298.878251,105877.206547,0.000000,-93.419259,7058.068708,0.000000,7999298.795231,106077.190747,0.315701,-93.434947,7058.066744,0.041993,0.000000,0.000000,0.000000,-0.185474,0.005522,0.277245,0.000000,200.000000,6.000000,0.000000,0.000000,0.200000
32,7999202.314073,112935.232713,0.000000,-99.646810,7057.983561,0.000000,7999202.214416,113135.214900,0.359099,-99.664388,7057.981499,0.044772,0.000000,0.000000,0.000000,-0.193048,0.005977,0.276871,0.000000,200.000000,6.400000,0.000000,0.000000,0.200000
34,7999099.522383,119993.170958,0.000000,-105.874283,7057.892919,0.000000,7999099.404162,120193.151036,0.405274,-105.893824,7057.890764,0.047547,0.000000,0.000000,0.000000,-0.200102,0.006435,0.276474,0.000000,200.000000,6.800000,0.000000,0.000000,0.200000
36,7998990.503261,127051.015786,0.000000,-112.101673,7057.796782,0.000000,7998990.364479,127250.993664,0.454223,-112.123245,7057.794539,0.050318,0.000000,0.000000,0.000000,-0.206654,0.006893,0.276056,0.000000,200.000000,7.200000,0.000000,0.000000,0.200000
38,7998875.256792,134108.761702,0.000000,-118.328976,7057.695151,0.000000,7998875.095386,134308.737294,0.505940,-118.352641,7057.692824,0.053085,0.000000,0.000000,0.000000,-0.212719,0.007350,0.275616,0.000000,200.000000,7.600000,0.000000,0.000000,0.200000
40,7998753.783066,141166.403213,0.000000,-124.556188,7057.588026,0.000000,7998753.596914,141366.376436,0.560421,-124.582003,7057.585618,0.055847,0.000000,0.000000,0.000000,-0.218312,0.007807,0.275155,0.000000,200.000000,8.000000,0.000000,0.000000,0.200000
42,7998626.082177,148223.934823,0.000000,-130.783302,7057.475405,0.000000,7998625.869101,148423.905601,0.617662,-130.811321,7057.472923,0.058604,0.000000,0.000000,0.000000,-0.223449,0.008261,0.274674,0.000000,200.000000,8.400000,0.000000,0.000000,0.200000
44,7998492.154225,155281.351039,0.000000,-137.010315,7057.357291,0.000000,7998491.911996,155481.319298,0.677659,-137.040586,7057.354738,0.061357,0.000000,0.000000,0.000000,-0.228145,0.008711,0.274172,0.000000,200.000000,8.800000,0.000000,0.000000,0.200000
46,7998351.999313,162338.646365,0.000000,-143.237221,7057.233682,0.000000,7998351.725657,162538.612038,0.740405,-143.269788,7057.231064,0.064104,0.000000,0.000000,0.000000,-0.232414,0.009158,0.273650,0.000000,200.000000,9.200000,0.000000,0.000000,0.200000
48,7998205.617552,169395.815308,0.000000,-149.464015,7057.104579,0.000000,7998205.310151,169595.778331,0.805895,-149.498919,7057.101899,0.066846,0.000000,0.000000,0.000000,-0.236271,0.009599,0.273109,0.000000,200.000000,9.600000,0.000000,0.000000,0.200000
50,7998053.009054,176452.852373,0.000000,-155.690694,7056.969982,0.000000,7998052.665554,176652.812688,0.874125,-155.727970,7056.967245,0.069582,0.000000,0.000000,0.000000,-0.239731,0.010035,0.272548,0.000000,200.000000,10.000000,0.000000,0.000000,0.200000
52,7997894.173939,183509.752067,0.000000,-161.917251,7056.829891,0.000000,7997893.791950,183709.709618,0.945088,-161.956932,7056.827101,0.072312,0.000000,0.000000,0.000000,-0.242808,0.010464,0.271968,0.000000,200.000000,10.400000,0.000000,0.000000,0.200000
54,7997729.112329,190566.508896,0.000000,-168.143682,7056.684306,0.000000,7997728.689433,190766.463632,1.018778,-168.185796,7056.681468,0.075037,0.000000,0.000000,0.000000,-0.245515,0.010886,0.271369,0.000000,200.000000,10.800000,0.000000,0.000000,0.200000
56,7997557.824354,197623.117365,0.000000,-174.369983,7056.533228,0.000000,7997557.358105,197823.069240,1.095190,-174.414554,7056.530345,0.077755,0.000000,0.000000,0.000000,-0.247866,0.011300,0.270752,0.000000,200.000000,11.200000,0.000000,0.000000,0.200000
58,7997380.310147,204679.571982,0.000000,-180.596147,7056.376656,0.000000,7997379.798076,204879.520954,1.174318,-180.643198,7056.373733,0.080468,0.000000,0.000000,0.000000,-0.249875,0.011706,0.270117,0.000000,200.000000,11.600000,0.000000,0.000000,0.200000
60,7997196.569846,211735.867252,0.000000,-186.822171,7056.214590,0.000000,7997196.009464,211935.813282,1.256154,-186.871719,7056.211631,0.083173,0.000000,0.000000,0.000000,-0.251555,0.012103,0.269465,0.000000,200.000000,12.000000,0.000000,0.000000,0.200000
62,7997006.603593,218791.997682,0.000000,-193.048050,7056.047031,0.000000,7997005.992397,218991.940737,1.340692,-193.100110,7056.044040,0.085872,0.000000,0.000000,0.000000,-0.252918,0.012490,0.268795,0.000000,200.000000,12.400000,0.000000,0.000000,0.200000
64,7996810.411537,225847.957779,0.000000,-199.273779,7055.873978,0.000000,7996809.747008,226047.897828,1.427925,-199.328361,7055.870959,0.088564,0.000000,0.000000,0.000000,-0.253977,0.012868,0.268107,0.000000,200.000000,12.800000,0.000000,0.000000,0.200000
66,7996607.993831,232903.742049,0.000000,-205.499352,7055.695433,0.000000,7996607.273441,233103.679067,1.517848,-205.556467,7055.692389,0.091249,0.000000,0.000000,0.000000,-0.254806,0.013271,0.267135,0.000000,200.000000,13.200000,0.000000,0.000000,0.200000
68,7996399.350631,239959.345000,0.000000,-211.724766,7055.511394,0.000000,7996398.571845,240159.278963,1.610451,-211.784418,7055.508329,0.093927,0.000000,0.000000,0.000000,-0.255268,0.013626,0.266412,0.000000,200.000000,13.600000,0.000000,0.000000,0.200000
70,7996184.482100,247014.761139,0.000000,-217.950015,7055.321863,0.000000,7996183.642379,247214.692028,1.705729,-218.012208,7055.318781,0.096597,0.000000,0.000000,0.000000,-0.255462,0.013970,0.265674,0.000000,200.000000,14.000000,0.000000,0.000000,0.200000
72,7995963.388406,254069.984973,0.000000,-224.175094,7055.126839,0.000000,7995962.485209,254269.912772,1.803673,-224.239828,7055.123743,0.099260,0.000000,0.000000,0.000000,-0.255402,0.014303,0.264920,0.000000,200.000000,14.400000,0.000000,0.000000,0.200000
74,7995736.069721,261125.011008,0.000000,-230.399999,7054.926322,0.000000,7995735.100506,261324.935705,1.904276,-230.467272,7054.923215,0.101915,0.000000,0.000000,0.000000,-0.255099,0.014624,0.264150,0.000000,200.000000,14.800000,0.000000,0.000000,0.200000
