time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,8000000.000000,2000.000000,0.000000,0.000000,7058.686508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2000.000000,0.000000,0.000000,0.000000,0.000000
2,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999996.854541,9058.684810,-0.000000,-6.228914,7058.682242,-0.000000,0.000000,0.000000,0.000000,-0.173030,0.002388,-0.000000,0.000000,2000.000000,0.000000,0.000014,0.000073,0.000000
4,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999987.479310,16117.362590,-0.000000,-12.459513,7058.672506,-0.000000,0.000000,0.000000,0.000000,-0.322089,0.004838,-0.000000,0.000000,2000.000000,0.000000,0.000029,0.000147,0.000000
6,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999971.872663,23176.027874,-0.000000,-18.691717,7058.657302,-0.000000,0.000000,0.000000,0.000000,-0.495948,0.008110,-0.000000,0.000000,2000.000000,0.000000,0.000043,0.000220,0.000000
8,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999950.033035,30234.675195,-0.000000,-24.925446,7058.636635,-0.000000,0.000000,0.000000,0.000000,-0.646232,0.011343,-0.000000,0.000000,2000.000000,0.000000,0.000058,0.000294,0.000000
10,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999921.958942,37293.299090,-0.000000,-31.160622,7058.610506,-0.000000,0.000000,0.000000,0.000000,-0.789304,0.014794,-0.000000,0.000000,2000.000000,0.000000,0.000072,0.000367,0.000000
12,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999887.648974,44351.894098,-0.000000,-37.397168,7058.578917,-0.000000,0.000000,0.000000,0.000000,-0.925341,0.018441,-0.000000,0.000000,2000.000000,0.000000,0.000087,0.000441,0.000000
14,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999847.101799,51410.454761,-0.000000,-43.635011,7058.541870,-0.000000,0.000000,0.000000,0.000000,-1.054519,0.022266,-0.000000,0.000000,2000.000000,0.000000,0.000101,0.000514,0.000000
16,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999800.316158,58468.975622,-0.000000,-49.874077,7058.499367,-0.000000,0.000000,0.000000,0.000000,-1.177014,0.026247,-0.000000,0.000000,2000.000000,0.000000,0.000116,0.000588,0.000000
18,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999747.290863,65527.451225,-0.000000,-56.114296,7058.451409,-0.000000,0.000000,0.000000,0.000000,-1.281686,0.029955,-0.000000,0.000000,2000.000000,0.000000,0.000130,0.000661,0.000000
20,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999688.024795,72585.876116,-0.000000,-62.355599,7058.397998,-0.000000,0.000000,0.000000,0.000000,-1.391962,0.034185,-0.000000,0.000000,2000.000000,0.000000,0.000144,0.000735,0.000000
22,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999622.516907,79644.244843,-0.000000,-68.597917,7058.339135,-0.000000,0.000000,0.000000,0.000000,-1.496056,0.038521,-0.000000,0.000000,2000.000000,0.000000,0.000159,0.000808,0.000000
24,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999550.766214,86702.551954,-0.000000,-74.841187,7058.274821,-0.000000,0.000000,0.000000,0.000000,-1.594139,0.042945,-0.000000,0.000000,2000.000000,0.000000,0.000173,0.000882,0.000000
26,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999472.771799,93760.791998,-0.000000,-81.085342,7058.205057,-0.000000,0.000000,0.000000,0.000000,-1.686380,0.047444,-0.000000,0.000000,2000.000000,0.000000,0.000188,0.000955,0.000000
28,7999389.214843,98819.097953,0.000000,-87.191636,7058.148360,0.000000,7999388.532808,100818.959526,-0.000000,-87.330322,7058.129843,-0.000000,0.000000,0.000000,0.000000,-1.772945,0.052002,-0.000000,0.000000,2000.000000,0.000000,0.000202,0.001028,0.000000
30,7999298.878251,105877.206547,0.000000,-93.419259,7058.068708,0.000000,7999298.048445,107877.049088,-0.000000,-93.576066,7058.049180,-0.000000,0.000000,0.000000,0.000000,-1.853999,0.056605,-0.000000,0.000000,2000.000000,0.000000,0.000217,0.001102,0.000000
32,7999202.314073,112935.232713,0.000000,-99.646810,7057.983561,0.000000,7999201.317979,114935.055236,-0.000000,-99.822514,7057.963069,-0.000000,0.000000,0.000000,0.000000,-1.929706,0.061240,-0.000000,0.000000,2000.000000,0.000000,0.000231,0.001175,0.000000
34,7999099.522383,119993.170958,0.000000,-105.874283,7057.892919,0.000000,7999098.340733,121992.972521,-0.000000,-106.069609,7057.871509,-0.000000,0.000000,0.000000,0.000000,-2.000228,0.065894,-0.000000,0.000000,2000.000000,0.000000,0.000245,0.001249,0.000000
36,7998990.503261,127051.015786,0.000000,-112.101673,7057.796782,0.000000,7998989.116089,129050.795495,-0.000000,-112.317295,7057.774501,-0.000000,0.000000,0.000000,0.000000,-2.065723,0.070555,-0.000000,0.000000,2000.000000,0.000000,0.000260,0.001322,0.000000
38,7998875.256792,134108.761702,0.000000,-118.328976,7057.695151,0.000000,7998873.643483,136108.518711,-0.000000,-118.565518,7057.672046,-0.000000,0.000000,0.000000,0.000000,-2.126348,0.075213,-0.000000,0.000000,2000.000000,0.000000,0.000274,0.001396,0.000000
40,7998753.783066,141166.403213,0.000000,-124.556188,7057.588026,0.000000,7998751.922405,143166.136720,-0.000000,-124.814226,7057.564143,-0.000000,0.000000,0.000000,0.000000,-2.182260,0.079855,-0.000000,0.000000,2000.000000,0.000000,0.000289,0.001469,0.000000
42,7998626.082177,148223.934823,0.000000,-130.783302,7057.475405,0.000000,7998623.952397,150223.644074,-0.000000,-131.063367,7057.450792,-0.000000,0.000000,0.000000,0.000000,-2.233611,0.084473,-0.000000,0.000000,2000.000000,0.000000,0.000303,0.001543,0.000000
44,7998492.154225,155281.351039,0.000000,-137.010315,7057.357291,0.000000,7998489.733049,157281.035326,-0.000000,-137.312892,7057.331992,-0.000000,0.000000,0.000000,0.000000,-2.280551,0.089057,-0.000000,0.000000,2000.000000,0.000000,0.000318,0.001616,0.000000
46,7998351.999313,162338.646365,0.000000,-143.237221,7057.233682,0.000000,7998349.264003,164338.305027,-0.000000,-143.562752,7057.207744,-0.000000,0.000000,0.000000,0.000000,-2.323229,0.093597,-0.000000,0.000000,2000.000000,0.000000,0.000332,0.001690,0.000000
48,7998205.617552,169395.815308,0.000000,-149.464015,7057.104579,0.000000,7998202.544948,171395.447729,-0.000000,-149.812901,7057.078047,-0.000000,0.000000,0.000000,0.000000,-2.361791,0.098086,-0.000000,0.000000,2000.000000,0.000000,0.000347,0.001763,0.000000
50,7998053.009054,176452.852373,0.000000,-155.690694,7056.969982,0.000000,7998049.575616,178452.457981,-0.000000,-156.063295,7056.942901,-0.000000,0.000000,0.000000,0.000000,-2.396381,0.102516,-0.000000,0.000000,2000.000000,0.000000,0.000361,0.001837,0.000000
52,7997894.173939,183509.752067,0.000000,-161.917251,7056.829891,0.000000,7997890.355787,185509.330336,-0.000000,-162.313888,7056.802305,-0.000000,0.000000,0.000000,0.000000,-2.427139,0.106879,-0.000000,0.000000,2000.000000,0.000000,0.000375,0.001910,0.000000
