time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,8000000.000000,2000.000000,0.000000,1.800000,7058.686508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2000.000000,0.000000,0.000000,0.000000,0.000000
1,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999998.649745,9058.684806,-0.000000,-4.438127,7058.682230,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000002,-0.000000,0.000000,2000.000000,0.000000,0.000407,-0.000295,0.000000
2,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999991.061368,16117.362557,-0.000000,-10.676243,7058.672455,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000003,-0.000000,0.000000,2000.000000,0.000000,0.000813,-0.000589,0.000000
3,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999977.234884,23176.027759,-0.000000,-16.914341,7058.657184,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000003,-0.000000,0.000000,2000.000000,0.000000,0.001220,-0.000884,0.000000
4,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999957.170312,30234.674914,-0.000000,-23.152419,7058.636419,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000003,-0.000000,0.000000,2000.000000,0.000000,0.001626,-0.001178,0.000000
5,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999930.867674,37293.298529,-0.000000,-29.390470,7058.610158,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000002,-0.000000,0.000000,2000.000000,0.000000,0.002033,-0.001473,0.000000
6,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999898.327001,44351.893108,-0.000000,-35.628491,7058.578403,-0.000000,0.000000,0.000000,0.000000,-0.010000,-0.000001,-0.000000,0.000000,2000.000000,0.000000,0.002440,-0.001767,0.000000
7,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999859.548325,51410.453158,-0.000000,-41.866475,7058.541153,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000000,-0.000000,0.000000,2000.000000,0.000000,0.002846,-0.002062,0.000000
8,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999814.531684,58468.973184,-0.000000,-48.104419,7058.498411,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000002,-0.000000,0.000000,2000.000000,0.000000,0.003253,-0.002356,0.000000
9,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999763.277122,65527.447693,-0.000000,-54.342317,7058.450175,-0.000000,0.000000,0.000000,0.000000,-0.010000,0.000004,-0.000000,0.000000,2000.000000,0.000000,0.003660,-0.002651,0.000000
