time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz,tracked_trajectory_x,tracked_trajectory_y,tracked_trajectory_z,tracked_trajectory_vx,tracked_trajectory_vy,tracked_trajectory_vz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,8000000.000000,2000.000000,0.000000,0.000000,7058.686508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2000.000000,0.000000,0.000000,0.000000,0.000000
1,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999996.847190,9058.685540,-0.000000,-6.244601,7058.683910,-0.000000,0.000000,0.000000,0.000000,-9.999791,-0.064668,-0.000000,0.000000,2000.000000,0.000000,0.000057,0.000121,0.000000
2,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999987.448860,16117.366171,-0.000000,-12.483490,7058.682359,-0.000000,0.000000,0.000000,0.000000,6.577393,7.532457,-0.000000,0.000000,2000.000000,0.000000,0.000114,0.000242,0.000000
3,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999971.805421,23176.035670,-0.000000,-18.743142,7058.662634,-0.000000,0.000000,0.000000,0.000000,-9.970918,0.762095,-0.000000,0.000000,2000.000000,0.000000,0.000172,0.000362,0.000000
4,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999949.916327,30234.688514,-0.000000,-24.981490,7058.643523,-0.000000,0.000000,0.000000,0.000000,-9.338862,3.575703,0.000000,0.000000,2000.000000,0.000000,0.000229,0.000483,0.000000
5,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999921.781942,37293.318624,-0.000000,-31.223747,7058.622946,-0.000000,0.000000,0.000000,0.000000,-5.035948,-8.639400,-0.000000,0.000000,2000.000000,0.000000,0.000286,0.000604,0.000000
6,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999887.402854,44351.922999,-0.000000,-37.471074,7058.592792,-0.000000,0.000000,0.000000,0.000000,-0.123607,-9.999236,-0.000000,0.000000,2000.000000,0.000000,0.000343,0.000725,0.000000
7,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999846.779051,51410.493016,-0.000000,-43.712875,7058.557867,-0.000000,0.000000,0.000000,0.000000,-4.627912,-8.864673,-0.000000,0.000000,2000.000000,0.000000,0.000400,0.000846,0.000000
8,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999799.910909,58469.025913,-0.000000,-49.959585,7058.515455,-0.000000,0.000000,0.000000,0.000000,-0.943588,-9.955383,-0.000000,0.000000,2000.000000,0.000000,0.000457,0.000967,0.000000
9,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999746.798480,65527.513738,-0.000000,-56.201604,7058.470585,-0.000000,0.000000,0.000000,0.000000,-3.896550,-9.209609,-0.000000,0.000000,2000.000000,0.000000,0.000515,0.001087,0.000000
10,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999687.442061,72585.953027,-0.000000,-62.447294,7058.416323,-0.000000,0.000000,0.000000,0.000000,-1.823259,-9.832381,-0.000000,0.000000,2000.000000,0.000000,0.000572,0.001208,0.000000
11,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999621.841818,79644.336651,-0.000000,-68.689640,7058.361034,0.000000,0.000000,0.000000,0.000000,-3.167618,-9.485051,-0.000000,0.000564,2000.001191,0.000000,0.000631,0.001327,0.000000
12,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999549.997955,86702.660327,-0.000000,-74.934250,7058.295332,0.000000,0.000000,0.000000,0.000000,-2.438848,-9.698042,-0.000000,0.001135,2000.002400,0.000000,0.000690,0.001446,0.000000
13,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999471.910745,93760.917674,-0.000000,-81.176741,7058.229280,-0.000000,0.000000,0.000000,0.000000,-2.645177,-9.643808,0.000000,0.001707,2000.003608,0.000000,0.000750,0.001565,0.000000
