time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,7999999.997500,200.000000,0.000000,-0.176467,7058.686506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999996.676472,7258.684587,0.000000,-6.403320,7058.681799,0.000000,0.000000,0.000000,0.000000,0.001278,-0.001831,0.000000
2,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999987.128591,14317.361695,0.000000,-12.630172,7058.671603,0.000000,0.000000,0.000000,0.000000,0.001274,-0.001824,0.000000
3,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999971.353860,21376.025836,0.000000,-18.857020,7058.655920,0.000000,0.000000,0.000000,0.000000,0.001269,-0.001817,0.000000
4,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999949.352285,28434.671522,0.000000,-25.083858,7058.634747,0.000000,0.000000,0.000000,0.000000,0.001264,-0.001810,0.000000
5,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999921.123880,35493.293263,0.000000,-31.310681,7058.608087,0.000000,0.000000,0.000000,0.000000,0.001259,-0.001803,0.000000
6,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999886.668661,42551.885573,0.000000,-37.537485,7058.575938,0.000000,0.000000,0.000000,0.000000,0.001254,-0.001796,0.000000
7,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999845.986650,49610.442962,0.000000,-43.764264,7058.538301,0.000000,0.000000,0.000000,0.000000,0.001250,-0.001790,0.000000
8,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999799.077874,56668.959943,0.000000,-49.991014,7058.495176,0.000000,0.000000,0.000000,0.000000,0.001245,-0.001783,0.000000
9,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999745.942365,63727.431027,0.000000,-56.217730,7058.446562,0.000000,0.000000,0.000000,0.000000,0.001240,-0.001776,0.000000
10,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999686.580160,70785.850726,0.000000,-62.444407,7058.392461,0.000000,0.000000,0.000000,0.000000,0.001235,-0.001769,0.000000
11,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999620.991300,77844.213552,0.000000,-68.671040,7058.332871,0.000000,0.000000,0.000000,0.000000,0.001231,-0.001762,0.000000
12,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999549.175830,84902.514017,0.000000,-74.897624,7058.267793,0.000000,0.000000,0.000000,0.000000,0.001226,-0.001755,0.000000
13,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999471.133803,91960.746632,0.000000,-81.124155,7058.197227,0.000000,0.000000,0.000000,0.000000,0.001221,-0.001748,0.000000
14,7999389.214843,98819.097953,0.000000,-87.191636,7058.148360,0.000000,7999386.865275,99018.905909,0.000000,-87.350627,7058.121173,0.000000,0.000000,0.000000,0.000000,0.001217,-0.001741,0.000000
15,7999298.878251,105877.206547,0.000000,-93.419259,7058.068708,0.000000,7999296.370305,106076.986362,0.000000,-93.577036,7058.039631,0.000000,0.000000,0.000000,0.000000,0.001212,-0.001734,0.000000
16,7999202.314073,112935.232713,0.000000,-99.646810,7057.983561,0.000000,7999199.648961,113134.982500,0.000000,-99.803377,7057.952601,0.000000,0.000000,0.000000,0.000000,0.001207,-0.001727,0.000000
