time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz
0,8e+06,0,0,0,7058.69,0,7.9998e+06,0,0,0,7058.77,0,0,0,0,0,0,0
2,8e+06,7058.69,0,-6.22813,7058.68,0,7.9998e+06,7058.76,0,-6.15535,7058.74,0,0,0,0,5.64832,-2.49618,0
4,7.99999e+06,14117.4,0,-12.4563,7058.68,0,7.99979e+06,14117.5,0,-12.3373,7058.71,0,0,0,0,3.75752,-1.66013,0
6,7.99997e+06,21176,0,-18.6844,7058.66,0,7.99977e+06,21176.2,0,-18.5362,7058.68,0,0,0,0,2.28527,-1.00738,0
8,7.99995e+06,28234.7,0,-24.9125,7058.64,0,7.99975e+06,28234.8,0,-24.7458,7058.66,0,0,0,0,1.45596,-0.639034,0
10,7.99992e+06,35293.3,0,-31.1406,7058.62,0,7.99972e+06,35293.5,0,-30.9622,7058.63,0,0,0,0,0.92924,-0.404959,0
12,7.99989e+06,42351.9,0,-37.3686,7058.59,0,7.99969e+06,42352.1,0,-37.1829,7058.59,0,0,0,0,0.594645,-0.256342,0
14,7.99985e+06,49410.5,0,-43.5966,7058.55,0,7.99965e+06,49410.7,0,-43.4063,7058.56,0,0,0,0,0.382055,-0.162066,0
16,7.9998e+06,56469,0,-49.8246,7058.51,0,7.9996e+06,56469.2,0,-49.6315,7058.51,0,0,0,0,0.246956,-0.10231,0
18,7.99975e+06,63527.5,0,-56.0526,7058.46,0,7.99955e+06,63527.7,0,-55.8577,7058.47,0,0,0,0,0.16803,-0.0675198,0
20,7.99969e+06,70585.9,0,-62.2805,7058.41,0,7.99949e+06,70586.1,0,-62.0846,7058.41,0,0,0,0,0.110908,-0.042447,0
22,7.99962e+06,77644.3,0,-68.5084,7058.35,0,7.99942e+06,77644.5,0,-68.3119,7058.35,0,0,0,0,0.0745856,-0.0265876,0
24,7.99955e+06,84702.7,0,-74.7362,7058.29,0,7.99935e+06,84702.8,0,-74.5394,7058.29,0,0,0,0,0.0514835,-0.0165605,0
26,7.99947e+06,91760.9,0,-80.9639,7058.22,0,7.99928e+06,91761.1,0,-80.767,7058.22,0,0,0,0,0.0367857,-0.0102215,0
28,7.99939e+06,98819.1,0,-87.1916,7058.15,0,7.99919e+06,98819.3,0,-86.9947,7058.15,0,0,0,0,0.0274317,-0.00621275,0
30,7.9993e+06,105877,0,-93.4193,7058.07,0,7.9991e+06,105877,0,-93.2224,7058.07,0,0,0,0,0.021476,-0.00367479,0
32,7.9992e+06,112935,0,-99.6468,7057.98,0,7.99901e+06,112935,0,-99.45,7057.98,0,0,0,0,0.0176818,-0.00206424,0
34,7.9991e+06,119993,0,-105.874,7057.89,0,7.9989e+06,119993,0,-105.678,7057.89,0,0,0,0,0.0152627,-0.0010379,0
36,7.99899e+06,127051,0,-112.102,7057.8,0,7.99879e+06,127051,0,-111.905,7057.8,0,0,0,0,0.0137185,-0.000379191,0
38,7.99888e+06,134109,0,-118.329,7057.7,0,7.99868e+06,134109,0,-118.133,7057.69,0,0,0,0,0.012731,4.84197e-05,0
40,7.99875e+06,141166,0,-124.556,7057.59,0,7.99856e+06,141167,0,-124.36,7057.59,0,0,0,0,0.0120979,0.000330906,0
42,7.99863e+06,148224,0,-130.783,7057.48,0,7.99843e+06,148224,0,-130.587,7057.48,0,0,0,0,0.0116902,0.000522354,0
