# time,x,y,z,vx,vy,vz
0.000000000000000000e+00,2.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+03,0.000000000000000000e+00,7.292066322445416981e-04,3.710108505889318006e-03,0.000000000000000000e+00,1.010101010101010104e+02
7.292066322445417414e-02,2.000371010850589073e+03,0.000000000000000000e+00,2.107979730010814661e-03,7.188947559936261639e-03,0.000000000000000000e+00,2.020202020202020208e+02
2.837186362255356142e-01,2.001089905606582761e+03,0.000000000000000000e+00,4.111395073302214452e-03,1.032299991714633221e-02,0.000000000000000000e+00,3.030303030303030027e+02
6.948581435557570352e-01,2.002122205598297342e+03,0.000000000000000000e+00,6.709724736221874507e-03,1.300333833643894758e-02,0.000000000000000000e+00,4.040404040404040416e+02
1.365830617177944628e+00,2.003422539431941232e+03,0.000000000000000000e+00,9.868672902931375709e-03,1.512646174120572777e-02,0.000000000000000000e+00,5.050505050505050804e+02
2.352697907471081873e+00,2.004935185606061623e+03,0.000000000000000000e+00,1.354964647923545887e-02,1.659508846345447708e-02,0.000000000000000000e+00,6.060606060606060055e+02
3.707662555394628079e+00,2.006594694452407111e+03,0.000000000000000000e+00,1.771005838140116834e-02,1.731890054049359251e-02,0.000000000000000000e+00,7.070707070707070443e+02
5.478668393534744219e+00,2.008326584506456356e+03,0.000000000000000000e+00,2.230366113739582976e-02,1.721523341531348145e-02,0.000000000000000000e+00,8.080808080808080831e+02
7.709034507274328263e+00,2.010048107847987694e+03,0.000000000000000000e+00,2.728090820760075905e-02,1.620970581653557660e-02,0.000000000000000000e+00,9.090909090909091219e+02
1.043712532803440318e+01,2.011669078429641331e+03,0.000000000000000000e+00,3.258934022392828700e-02,1.423678505774803038e-02,0.000000000000000000e+00,1.010101010101010161e+03
1.369605935042723210e+01,2.013092756935416219e+03,0.000000000000000000e+00,3.817399315968698220e-02,1.124028349565892038e-02,0.000000000000000000e+00,1.111111111111111086e+03
1.751345866639593041e+01,2.014216785284982052e+03,0.000000000000000000e+00,4.397782527888798726e-02,7.173782417938482509e-03,0.000000000000000000e+00,1.212121212121212011e+03
2.191124119428473094e+01,2.014934163526775819e+03,0.000000000000000000e+00,4.994215957417380558e-02,2.000980190820214524e-03,0.000000000000000000e+00,1.313131313131313163e+03
2.690545715170210883e+01,2.015134261545857953e+03,0.000000000000000000e+00,5.600713828820546442e-02,-4.304037920788083942e-03,0.000000000000000000e+00,1.414141414141414089e+03
3.250617098052265419e+01,2.014703857753779175e+03,0.000000000000000000e+00,6.211218602500023084e-02,-1.175661024621573944e-02,0.000000000000000000e+00,1.515151515151515241e+03
3.871738958302267974e+01,2.013528196729157571e+03,0.000000000000000000e+00,6.819647789600787047e-02,-2.036139088432969285e-02,0.000000000000000000e+00,1.616161616161616166e+03
4.553703737262346607e+01,2.011492057640724624e+03,0.000000000000000000e+00,7.419940911108552362e-02,-3.011232430466490723e-02,0.000000000000000000e+00,1.717171717171717091e+03
5.295697828373202043e+01,2.008480825210257990e+03,0.000000000000000000e+00,8.006106241721244743e-02,-4.099270248689840246e-02,0.000000000000000000e+00,1.818181818181818244e+03
6.096308452545326872e+01,2.004381554961568327e+03,0.000000000000000000e+00,8.572266980780125778e-02,-5.297530408004258451e-02,0.000000000000000000e+00,1.919191919191919169e+03
6.953535150623339689e+01,1.999084024553563950e+03,0.000000000000000000e+00,9.112706497263316219e-02,-6.602261443617182812e-02,0.000000000000000000e+00,2.020202020202020321e+03
7.864805800349671472e+01,1.992481763109946769e+03,0.000000000000000000e+00,9.621912303238588926e-02,-8.008712475625882898e-02,0.000000000000000000e+00,2.121212121212121019e+03
8.826997030673530276e+01,1.984473050634320771e+03,0.000000000000000000e+00,1.009461842018501559e-01,-9.511170798245589808e-02,0.000000000000000000e+00,2.222222222222222172e+03
9.836458872692031719e+01,1.974961879836075241e+03,0.000000000000000000e+00,1.052584581514596496e-01,-1.110300684864745507e-01,0.000000000000000000e+00,2.323232323232323324e+03
1.088904345420662878e+02,1.963858872987427731e+03,0.000000000000000000e+00,1.091094059867197263e-01,-1.277672620420108041e-01,0.000000000000000000e+00,2.424242424242424022e+03
1.198013751407382586e+02,1.951082146783226563e+03,0.000000000000000000e+00,1.124560969383535391e-01,-1.452402820346751777e-01,0.000000000000000000e+00,2.525252525252525174e+03
1.310469848345736068e+02,1.936558118579759139e+03,0.000000000000000000e+00,1.152595370511620976e-01,-1.633587073596451111e-01,0.000000000000000000e+00,2.626262626262626327e+03
1.425729385396898294e+02,1.920222247843794776e+03,0.000000000000000000e+00,1.174849673752206419e-01,-1.820254069890564763e-01,0.000000000000000000e+00,2.727272727272727479e+03
1.543214352772118900e+02,1.902019707144889253e+03,0.000000000000000000e+00,1.191021293974623557e-01,-2.011372957615117085e-01,0.000000000000000000e+00,2.828282828282828177e+03
1.662316482169581207e+02,1.881905977568738081e+03,0.000000000000000000e+00,1.200854957031421699e-01,-2.205861355582373617e-01,0.000000000000000000e+00,2.929292929292929330e+03
1.782401977872723364e+02,1.859847364012914340e+03,0.000000000000000000e+00,1.204144641232144375e-01,-2.402593756872822561e-01,0.000000000000000000e+00,3.030303030303030482e+03
1.902816441995937851e+02,1.835821426444186045e+03,0.000000000000000000e+00,1.200735139032716725e-01,-2.600410260012842034e-01,0.000000000000000000e+00,3.131313131313131180e+03
2.022889955899209440e+02,1.809817323844057455e+03,0.000000000000000000e+00,1.190523227202530260e-01,-2.798125560279567381e-01,0.000000000000000000e+00,3.232323232323232332e+03
2.141942278619462456e+02,1.781836068241261728e+03,0.000000000000000000e+00,1.173458436724363063e-01,-2.994538131974036621e-01,0.000000000000000000e+00,3.333333333333333485e+03
2.259288122291898731e+02,1.751890686921521365e+03,0.000000000000000000e+00,1.149543416740043678e-01,-3.188439531080947131e-01,0.000000000000000000e+00,3.434343434343434183e+03
2.374242463965903198e+02,1.720006291610711969e+03,0.000000000000000000e+00,1.118833889954120864e-01,-3.378623746848955500e-01,0.000000000000000000e+00,3.535353535353535335e+03
2.486125852961315275e+02,1.686220054142222352e+03,0.000000000000000000e+00,1.081438200025232471e-01,-3.563896530485672898e-01,0.000000000000000000e+00,3.636363636363636488e+03
2.594269672963838502e+02,1.650581088837365542e+03,0.000000000000000000e+00,1.037516454586799863e-01,-3.743084629368764737e-01,0.000000000000000000e+00,3.737373737373737185e+03
2.698021318422518675e+02,1.613150242543678132e+03,0.000000000000000000e+00,9.872792706215718916e-02,-3.915044855926962941e-01,0.000000000000000000e+00,3.838383838383838338e+03
2.796749245484675725e+02,1.573999793984408598e+03,0.000000000000000000e+00,9.309861319450712935e-02,-4.078672921636438686e-01,0.000000000000000000e+00,3.939393939393939490e+03
2.889847858679182764e+02,1.533213064768043978e+03,0.000000000000000000e+00,8.689433715082803267e-02,-4.232911968398842539e-01,0.000000000000000000e+00,4.040404040404040643e+03
2.976742195830011042e+02,1.490883945084055540e+03,0.000000000000000000e+00,8.015017940875726610e-02,-4.376760731903348023e-01,0.000000000000000000e+00,4.141414141414141341e+03
3.056892375238767841e+02,1.447116337765022081e+03,0.000000000000000000e+00,7.290539576684085254e-02,-4.509281274408443729e-01,0.000000000000000000e+00,4.242424242424242038e+03
3.129797771005609093e+02,1.402023525020937768e+03,0.000000000000000000e+00,6.520311344279385024e-02,-4.629606227688229936e-01,0.000000000000000000e+00,4.343434343434343646e+03
3.195000884448402871e+02,1.355727462744055401e+03,0.000000000000000000e+00,5.708999746608187098e-02,-4.736945490647476720e-01,0.000000000000000000e+00,4.444444444444444343e+03
3.252090881914484726e+02,1.308358007837580772e+03,0.000000000000000000e+00,4.861588992537795723e-02,-4.830592330290997549e-01,0.000000000000000000e+00,4.545454545454545041e+03
