time,x,y,z,vx,vy,vz
0.000000000000000000e+00,2.137285159562312624e-34,2.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.001390820584144592e+01,2.136578532054589774e-34,2.000000000000000000e+03,0.000000000000000000e+00,4.071819488578621964e-03,-2.949662037577939922e-03,0.000000000000000000e+00
2.002781641168289184e+01,4.071819488578621443e-02,1.999970503379624233e+03,0.000000000000000000e+00,8.023731068570910327e-03,-5.864315311989474339e-03,0.000000000000000000e+00
3.004172461752433776e+01,1.209555055714953004e-01,1.999911860226504132e+03,0.000000000000000000e+00,1.185886371933083695e-02,-8.744905520104671870e-03,0.000000000000000000e+00
4.005563282336578368e+01,2.395441427648036803e-01,1.999824411171303154e+03,0.000000000000000000e+00,1.558025619770771891e-02,-1.159234983987327862e-02,0.000000000000000000e+00
5.006954102920722960e+01,3.953467047418808833e-01,1.999708487672904312e+03,0.000000000000000000e+00,1.919086724507096386e-02,-1.440753791331124238e-02,0.000000000000000000e+00
6.008344923504867552e+01,5.872553771925904664e-01,1.999564412293771056e+03,0.000000000000000000e+00,2.269357945725960016e-02,-1.719133266333399551e-02,0.000000000000000000e+00
7.009735744089012144e+01,8.141911717651865166e-01,1.999392498967137726e+03,0.000000000000000000e+00,2.609120144470799402e-02,-1.994457105593288107e-02,0.000000000000000000e+00
8.011126564673156736e+01,1.075103186212266415e+00,1.999193053256578423e+03,0.000000000000000000e+00,2.938646964915318446e-02,-2.266806483754156901e-02,0.000000000000000000e+00
9.012517385257301328e+01,1.368967882703798100e+00,1.998966372608203073e+03,0.000000000000000000e+00,3.258205011931538525e-02,-2.536260125333486895e-02,0.000000000000000000e+00
1.001390820584144592e+02,1.694788383896951967e+00,1.998712746595669614e+03,0.000000000000000000e+00,3.568054028434922836e-02,-2.802894374687524282e-02,0.000000000000000000e+00
1.101529902642559051e+02,2.051593786740444347e+00,1.998432457158201032e+03,0.000000000000000000e+00,3.868447070883039574e-02,-3.066783264084690930e-02,0.000000000000000000e+00
1.201668984700973510e+02,2.438438493828748221e+00,1.998125778831792559e+03,0.000000000000000000e+00,4.159630681185048917e-02,-3.327998579891353059e-02,0.000000000000000000e+00
1.301808066759388112e+02,2.854401561947252919e+00,1.997792978973803429e+03,0.000000000000000000e+00,4.441845054266582021e-02,-3.586609926905152956e-02,0.000000000000000000e+00
1.401947148817802429e+02,3.298586067373910691e+00,1.997434317981113054e+03,0.000000000000000000e+00,4.715324200965016060e-02,-3.842684790885327745e-02,0.000000000000000000e+00
1.502086230876216746e+02,3.770118487470412560e+00,1.997050049502024649e+03,0.000000000000000000e+00,4.980296106432911818e-02,-4.096288599335904529e-02,0.000000000000000000e+00
1.602225312934631347e+02,4.268148098113703881e+00,1.996640420642091158e+03,0.000000000000000000e+00,5.236982884159732676e-02,-4.347484780595288478e-02,0.000000000000000000e+00
1.702364394993045948e+02,4.791846386529676316e+00,1.996205672164031512e+03,0.000000000000000000e+00,5.485600925895154495e-02,-4.596334821284449312e-02,0.000000000000000000e+00
1.802503477051460266e+02,5.340406479119192973e+00,1.995746038681903201e+03,0.000000000000000000e+00,5.726361047606673416e-02,-4.842898322161578312e-02,0.000000000000000000e+00
1.902642559109874583e+02,5.913042583879859926e+00,1.995261748849686910e+03,0.000000000000000000e+00,5.959468631679147588e-02,-5.087233052429280394e-02,0.000000000000000000e+00
2.002781641168289184e+02,6.508989447047774490e+00,1.994753025544444199e+03,0.000000000000000000e+00,6.185123765443403115e-02,-5.329395002537306442e-02,0.000000000000000000e+00
2.102920723226703785e+02,7.127501823592114150e+00,1.994220086044190339e+03,0.000000000000000000e+00,6.403521376205850713e-02,-5.569438435522796466e-02,0.000000000000000000e+00
2.203059805285118102e+02,7.767853961212699332e+00,1.993663142200638049e+03,0.000000000000000000e+00,6.614851362850165950e-02,-5.807415936927475680e-02,0.000000000000000000e+00
2.303198887343532419e+02,8.429339097497715372e+00,1.993082400606945384e+03,0.000000000000000000e+00,6.819298724098044051e-02,-6.043378463330518341e-02,0.000000000000000000e+00
2.403337969401947021e+02,9.111268969907520443e+00,1.992478062760612147e+03,0.000000000000000000e+00,7.017043683544010868e-02,-6.277375389534704808e-02,0.000000000000000000e+00
2.503477051460361622e+02,9.812973338261921086e+00,1.991850325221658750e+03,0.000000000000000000e+00,7.208261811519667273e-02,-6.509454554441973517e-02,0.000000000000000000e+00
2.603616133518776223e+02,1.053379951941388804e+01,1.991199379766214633e+03,0.000000000000000000e+00,7.393124143890554556e-02,-6.739662305653919272e-02,0.000000000000000000e+00
2.703755215577190256e+02,1.127311193380294441e+01,1.990525413535649250e+03,0.000000000000000000e+00,7.571797297850468844e-02,-6.968043542831464654e-02,0.000000000000000000e+00
2.803894297635604858e+02,1.203029166358798996e+01,1.989828609181366119e+03,0.000000000000000000e+00,7.744443584773404166e-02,-7.194641759847199280e-02,0.000000000000000000e+00
2.904033379694019459e+02,1.280473602206532924e+01,1.989109145005381379e+03,0.000000000000000000e+00,7.911221120229033898e-02,-7.419499085763263391e-02,0.000000000000000000e+00
3.004172461752433492e+02,1.359585813408823185e+01,1.988367195096805062e+03,0.000000000000000000e+00,8.072283931201186535e-02,-7.642656324666227685e-02,0.000000000000000000e+00
3.104311543810848093e+02,1.440308652720835170e+01,1.987602929464338331e+03,0.000000000000000000e+00,8.227782060608704318e-02,-7.864152994390133378e-02,0.000000000000000000e+00
3.204450625869262694e+02,1.522586473326922096e+01,1.986816514164899445e+03,0.000000000000000000e+00,8.377861669157865565e-02,-8.084027364157507500e-02,0.000000000000000000e+00
3.304589707927677296e+02,1.606365090018500652e+01,1.986008111428483744e+03,0.000000000000000000e+00,8.522665134631730866e-02,-8.302316491168074131e-02,0.000000000000000000e+00
3.404728789986091897e+02,1.691591741364818091e+01,1.985177879779366776e+03,0.000000000000000000e+00,8.662331148663840463e-02,-8.519056256163412555e-02,0.000000000000000000e+00
3.504867872044505930e+02,1.778215052851456690e+01,1.984325974153750394e+03,0.000000000000000000e+00,8.796994811050333485e-02,-8.734281397995344309e-02,0.000000000000000000e+00
3.605006954102920531e+02,1.866185000961959872e+01,1.983452546013950951e+03,0.000000000000000000e+00,8.926787721673792864e-02,-8.948025547225284260e-02,0.000000000000000000e+00
3.705146036161335132e+02,1.955452878178697773e+01,1.982557743459228277e+03,0.000000000000000000e+00,9.051838070107866285e-02,-9.160321258780851350e-02,0.000000000000000000e+00
3.805285118219749165e+02,2.045971258879776755e+01,1.981641711333350258e+03,0.000000000000000000e+00,9.172270722938272169e-02,-9.371200043695168680e-02,0.000000000000000000e+00
3.905424200278163767e+02,2.137693966109159049e+01,1.980704591328980769e+03,0.000000000000000000e+00,9.288207308866915091e-02,-9.580692399954027216e-02,0.000000000000000000e+00
4.005563282336578368e+02,2.230576039197828209e+01,1.979746522088985330e+03,0.000000000000000000e+00,9.399766301675499536e-02,-9.788827842475221475e-02,0.000000000000000000e+00
4.105702364394992969e+02,2.324573702214583193e+01,1.978767639304737941e+03,0.000000000000000000e+00,9.507063101058137178e-02,-9.995634932243419035e-02,0.000000000000000000e+00
4.205841446453407571e+02,2.419644333225164701e+01,1.977768075811513427e+03,0.000000000000000000e+00,9.610210111433568902e-02,-1.020114130462398405e-01,0.000000000000000000e+00
4.305980528511821603e+02,2.515746434339500226e+01,1.976747961681051038e+03,0.000000000000000000e+00,9.709316818721179521e-02,-1.040537369687766639e-01,0.000000000000000000e+00
4.406119610570236205e+02,2.612839602526712213e+01,1.975707424311363411e+03,0.000000000000000000e+00,9.804489865205549826e-02,-1.060835797489855237e-01,0.000000000000000000e+00
4.506258692628650806e+02,2.710884501178767536e+01,1.974646588513873667e+03,0.000000000000000000e+00,9.895833122467691256e-02,-1.081011915919584537e-01,0.000000000000000000e+00
4.606397774687064839e+02,2.809842832403444390e+01,1.973565576597954077e+03,0.000000000000000000e+00,9.983447762490128830e-02,-1.101068145014071492e-01,0.000000000000000000e+00
4.706536856745479440e+02,2.909677310028345687e+01,1.972464508452940208e+03,0.000000000000000000e+00,1.006743232693209228e-01,-1.121006825249783179e-01,0.000000000000000000e+00
4.806675938803894041e+02,3.010351633297666751e+01,1.971343501627690330e+03,0.000000000000000000e+00,1.014788279467163795e-01,-1.140830219926160793e-01,0.000000000000000000e+00
4.906815020862308643e+02,3.111830461244382917e+01,1.970202671407764001e+03,0.000000000000000000e+00,1.022489264760401556e-01,-1.160540517481566253e-01,0.000000000000000000e+00
5.006954102920723244e+02,3.214079387720423142e+01,1.969042130890282579e+03,0.000000000000000000e+00,1.029855293478225825e-01,-1.180139833743457517e-01,0.000000000000000000e+00
5.107093184979137277e+02,3.317064917068245933e+01,1.967861991056539182e+03,0.000000000000000000e+00,1.036895233493192875e-01,-1.199630214114567189e-01,0.000000000000000000e+00
